timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1571524760116,7,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,1,1,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,2
1571524761117,7,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,2,2,http://localhost:8080/product,,7,1,0,LAPTOP-V4PSCO6F,0,2
1571524761178,3,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,2,2,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571524762116,4,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,3,3,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571524762143,4,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,3,3,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,1
1571524762211,7,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,3,3,http://localhost:8080/product,,6,1,0,LAPTOP-V4PSCO6F,0,1
1571524763117,5,Product,200,,Scenario 1 - Sem  Usar Cache 1-4,text,true,,999,317,4,4,http://localhost:8080/product,,5,1,0,LAPTOP-V4PSCO6F,0,0
1571524763139,8,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,4,4,http://localhost:8080/product,,8,1,0,LAPTOP-V4PSCO6F,0,1
1571524763162,3,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,4,4,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571524763227,4,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,4,4,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571524764117,4,Product,200,,Scenario 1 - Sem  Usar Cache 1-5,text,true,,999,317,5,5,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571524764157,4,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,5,5,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571524764169,5,Product,200,,Scenario 1 - Sem  Usar Cache 1-4,text,true,,999,317,5,5,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571524764222,6,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,5,5,http://localhost:8080/product,,5,1,0,LAPTOP-V4PSCO6F,0,2
1571524764235,4,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,5,5,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571524765116,4,Product,200,,Scenario 1 - Sem  Usar Cache 1-6,text,true,,999,317,6,6,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571524765164,4,Product,200,,Scenario 1 - Sem  Usar Cache 1-5,text,true,,999,317,6,6,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,1
1571524765169,3,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,6,6,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571524765203,4,Product,200,,Scenario 1 - Sem  Usar Cache 1-4,text,true,,999,317,6,6,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571524765254,3,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,6,6,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571524765295,5,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,6,6,http://localhost:8080/product,,5,1,0,LAPTOP-V4PSCO6F,0,1
1571524766116,3,Product,200,,Scenario 1 - Sem  Usar Cache 1-7,text,true,,999,317,7,7,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571524766171,7,Product,200,,Scenario 1 - Sem  Usar Cache 1-6,text,true,,999,317,7,7,http://localhost:8080/product,,7,1,0,LAPTOP-V4PSCO6F,0,1
1571524766186,3,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,7,7,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,1
1571524766222,3,Product,200,,Scenario 1 - Sem  Usar Cache 1-4,text,true,,999,317,7,7,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571524766221,5,Product,200,,Scenario 1 - Sem  Usar Cache 1-5,text,true,,999,317,7,7,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,0
1571524766284,4,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,7,7,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571524766351,5,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,7,7,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
1571524767117,9,Product,200,,Scenario 1 - Sem  Usar Cache 1-8,text,true,,999,317,8,8,http://localhost:8080/product,,8,1,0,LAPTOP-V4PSCO6F,0,1
1571524767149,3,Product,200,,Scenario 1 - Sem  Usar Cache 1-7,text,true,,999,317,8,8,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,1
1571524767233,9,Product,200,,Scenario 1 - Sem  Usar Cache 1-5,text,true,,999,317,8,8,http://localhost:8080/product,,8,1,0,LAPTOP-V4PSCO6F,0,1
1571524767259,8,Product,200,,Scenario 1 - Sem  Usar Cache 1-6,text,true,,999,317,8,8,http://localhost:8080/product,,8,1,0,LAPTOP-V4PSCO6F,0,1
1571524767278,8,Product,200,,Scenario 1 - Sem  Usar Cache 1-3,text,true,,999,317,8,8,http://localhost:8080/product,,7,1,0,LAPTOP-V4PSCO6F,0,0
1571524767288,5,Product,200,,Scenario 1 - Sem  Usar Cache 1-4,text,true,,999,317,8,8,http://localhost:8080/product,,5,1,0,LAPTOP-V4PSCO6F,0,1
1571524767360,3,Product,200,,Scenario 1 - Sem  Usar Cache 1-1,text,true,,999,317,8,8,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571524767434,3,Product,200,,Scenario 1 - Sem  Usar Cache 1-2,text,true,,999,317,8,8,http://localhost:8080/product,,3,1,0,LAPTOP-V4PSCO6F,0,0
1571524768117,5,Product,200,,Scenario 1 - Sem  Usar Cache 1-9,text,true,,999,317,9,9,http://localhost:8080/product,,4,1,0,LAPTOP-V4PSCO6F,0,1
